"county","vtd","cntyname","vtdname","pop10","afact","AFACT2"
"county","vtd","cntyname","Voting District Name","Total Pop, 2010 census","vtd to vtd alloc factor","vtd to vtd alloc factor"
"42001","10","Adams PA","ABBOTTSTOWN Voting District*",1011,1,1 
"42001","20","Adams PA","ARENDTSVILLE Voting District*",952,1,1 
"42001","30","Adams PA","BENDERSVILLE Voting District*",641,1,1 
"42001","40","Adams PA","BERWICK TWP Voting District*",2389,1,1 
"42001","50","Adams PA","BIGLERVILLE Voting District*",1200,1,1 
"42001","60","Adams PA","BONNEAUVILLE Voting District*",1800,1,1 
"42001","70","Adams PA","BUTLER TWP Voting District*",2567,1,1 
"42001","80","Adams PA","CARROLL VALLEY Voting District*",1762,1,1 
"42001","90","Adams PA","CONEWAGO TWP VTD 01*",2814,1,1 
"42001","100","Adams PA","CONEWAGO TWP VTD 02*",4271,1,1 
"42001","110","Adams PA","CUMBERLAND TWP VTD 01*",1799,1,1 
"42001","120","Adams PA","CUMBERLAND TWP VTD 02*",1432,1,1 
"42001","130","Adams PA","CUMBERLAND TWP VTD 03*",2176,1,1 
"42001","140","Adams PA","CUMBERLAND TWP VTD 04*",755,1,1 
"42001","150","Adams PA","EAST BERLIN Voting District*",1521,1,1 
"42001","160","Adams PA","FAIRFIELD Voting District*",507,1,1 
"42001","170","Adams PA","FRANKLIN TWP VTD 01*",2485,1,1 
"42001","180","Adams PA","FRANKLIN TWP VTD 02*",2392,1,1 
"42001","190","Adams PA","FREEDOM TWP Voting District*",831,1,1 
"42001","200","Adams PA","GERMANY TWP Voting District*",2700,1,1 
"42001","220","Adams PA","GETTYSBURG WD 01 PCT 02*",2403,1,1 
"42001","230","Adams PA","GETTYSBURG WD 02*",3383,1,1 
"42001","240","Adams PA","GETTYSBURG WD 03 PCT 01*",1834,1,1 
"42001","260","Adams PA","HAMILTON TWP Voting District*",2530,1,1 
"42001","270","Adams PA","HAMILTONBAN TWP Voting District*",2372,1,1 
"42001","280","Adams PA","HIGHLAND TWP Voting District*",943,1,1 
"42001","290","Adams PA","HUNTINGTON TWP VTD 01*",2369,1,1 
"42001","310","Adams PA","LATIMORE TWP Voting District*",2580,1,1 
"42001","320","Adams PA","LIBERTY TWP Voting District*",1237,1,1 
"42001","330","Adams PA","LITTLESTOWN WD 01",2421,1,1 
"42001","340","Adams PA","LITTLESTOWN WD 02",2013,1,1 
"42001","350","Adams PA","MC SHERRYSTOWN VTD 01*",1808,1,1 
"42001","360","Adams PA","MC SHERRYSTOWN VTD 02*",1230,1,1 
"42001","370","Adams PA","MENALLEN TWP Voting District*",3515,1,1 
"42001","380","Adams PA","MT. JOY TWP VTD 01*",1778,1,1 
"42001","385","Adams PA","MT. JOY TWP VTD 02*",1892,1,1 
"42001","390","Adams PA","MT. PLEASANT TWP VTD 01*",2579,1,1 
"42001","400","Adams PA","MT. PLEASANT TWP VTD 02*",2114,1,1 
"42001","410","Adams PA","NEW OXFORD Voting District*",1783,1,1 
"42001","425","Adams PA","OXFORD TWP DIST 01*",2754,1,1 
"42001","427","Adams PA","OXFORD TWP DIST 02*",2763,1,1 
"42001","430","Adams PA","READING TWP VTD 01*",2960,1,1 
"42001","435","Adams PA","READING TWP VTD 02*",2820,1,1 
"42001","440","Adams PA","STRABAN TWP VTD 01*",2318,1,1 
"42001","450","Adams PA","STRABAN TWP VTD 02*",2610,1,1 
"42001","460","Adams PA","TYRONE TWP Voting District*",2298,1,1 
"42001","480","Adams PA","UNION TWP Voting District*",3148,1,1 
"42001","490","Adams PA","YORK SPRINGS Voting District*",833,1,1 
"42001","80A","Adams PA","4200180A",2114,1,1 
"42003","10","Allegheny PA","ALEPPO TWP Voting District*",1916,1,1 
"42003","21","Allegheny PA","ASPINWALL DIST 01*",1050,1,1 
"42003","31","Allegheny PA","ASPINWALL DIST 02*",758,1,1 
"42003","50","Allegheny PA","ASPINWALL DIST 04*",993,1,1 
"42003","61","Allegheny PA","AVALON WD 01*",1554,1,1 
"42003","81","Allegheny PA","AVALON WD 02 DIST 01*",907,1,1 
"42003","91","Allegheny PA","AVALON WD 02 DIST 02*",609,1,1 
"42003","101","Allegheny PA","AVALON WD 03 DIST 01",488,1,1 
"42003","111","Allegheny PA","AVALON WD 03 DIST 02",617,1,1 
"42003","121","Allegheny PA","AVALON WD 03 DIST 03*",530,1,1 
"42003","130","Allegheny PA","BALDWIN TWP DIST 01",1016,1,1 
"42003","140","Allegheny PA","BALDWIN TWP DIST 02",976,1,1 
"42003","151","Allegheny PA","BALDWIN DIST 01*",837,1,1 
"42003","161","Allegheny PA","BALDWIN DIST 02*",1205,1,1 
"42003","171","Allegheny PA","BALDWIN DIST 03*",1208,1,1 
"42003","181","Allegheny PA","BALDWIN DIST 04*",1010,1,1 
"42003","191","Allegheny PA","BALDWIN DIST 05*",1146,1,1 
"42003","201","Allegheny PA","BALDWIN DIST 06*",1104,1,1 
"42003","211","Allegheny PA","BALDWIN DIST 07*",1175,1,1 
"42003","221","Allegheny PA","BALDWIN DIST 08*",949,1,1 
"42003","225","Allegheny PA","BALDWIN DIST 10*",2109,1,1 
"42003","231","Allegheny PA","BALDWIN DIST 09*",943,1,1 
"42003","235","Allegheny PA","BALDWIN DIST 11*",986,1,1 
"42003","261","Allegheny PA","BALDWIN DIST 12*",882,1,1 
"42003","271","Allegheny PA","BALDWIN DIST 13*",933,1,1 
"42003","281","Allegheny PA","BALDWIN DIST 14*",763,1,1 
"42003","291","Allegheny PA","BALDWIN DIST 15*",1071,1,1 
"42003","295","Allegheny PA","BALDWIN DIST 16*",1249,1,1 
"42003","301","Allegheny PA","BALDWIN DIST 17*",858,1,1 
"42003","305","Allegheny PA","BALDWIN DIST 18*",1339,1,1 
"42003","310","Allegheny PA","BELL ACRES Voting District*",1388,1,1 
"42003","321","Allegheny PA","BELLEVUE WD 01 DIST 01",1432,1,1 
"42003","331","Allegheny PA","BELLEVUE WD 01 DIST 02*",1307,1,1 
"42003","351","Allegheny PA","BELLEVUE WD 02 DIST 01",1565,1,1 
"42003","361","Allegheny PA","BELLEVUE WD 02 DIST 02",1355,1,1 
"42003","371","Allegheny PA","BELLEVUE WD 03 DIST 01",1355,1,1 
"42003","381","Allegheny PA","BELLEVUE WD 03 DIST 02",1356,1,1 
"42003","400","Allegheny PA","BEN AVON DIST 01",553,1,1 
"42003","411","Allegheny PA","BEN AVON DIST 02",1228,1,1 
"42003","430","Allegheny PA","BEN AVON HEIGHTS Voting District*",371,1,1 
"42003","441","Allegheny PA","BETHEL PARK WD 01 DIST 01",1145,1,1 
