"county","vtd","tract","bg","cntyname","vtdname","pop10","afact","AFACT2"
"county","vtd","2010 Tract","bg","cntyname","Voting District Name","Total Pop, 2010 census","vtd to bg alloc factor","bg to vtd alloc factor"
"42001","10","0308.00","3","Adams PA","ABBOTTSTOWN Voting District*",1011,1,0.719 
"42001","20","0304.00","2","Adams PA","ARENDTSVILLE Voting District*",952,1,0.972 
"42001","30","0303.00","2","Adams PA","BENDERSVILLE Voting District*",641,1,0.336 
"42001","40","0308.00","3","Adams PA","BERWICK TWP Voting District*",55,0.023,0.039 
"42001","40","0308.00","4","Adams PA","BERWICK TWP Voting District*",2334,0.977,1 
"42001","50","0305.00","1","Adams PA","BIGLERVILLE Voting District*",605,0.504,0.278 
"42001","50","0305.00","2","Adams PA","BIGLERVILLE Voting District*",595,0.496,0.375 
"42001","60","0307.00","3","Adams PA","BONNEAUVILLE Voting District*",1800,1,1 
"42001","70","0305.00","1","Adams PA","BUTLER TWP Voting District*",1574,0.613,0.722 
"42001","70","0305.00","2","Adams PA","BUTLER TWP Voting District*",993,0.387,0.625 
"42001","80","0316.00","3","Adams PA","CARROLL VALLEY Voting District*",860,0.488,0.264 
"42001","80","0316.00","4","Adams PA","CARROLL VALLEY Voting District*",902,0.512,0.487 
"42001","90","0311.01","3","Adams PA","CONEWAGO TWP VTD 01*",2125,0.755,1 
"42001","90","0311.02","1","Adams PA","CONEWAGO TWP VTD 01*",689,0.245,0.217 
"42001","100","0310.00","1","Adams PA","CONEWAGO TWP VTD 02*",1781,0.417,1 
"42001","100","0311.02","1","Adams PA","CONEWAGO TWP VTD 02*",2490,0.583,0.783 
"42001","110","0314.01","1","Adams PA","CUMBERLAND TWP VTD 01*",1799,1,0.774 
"42001","120","0314.02","1","Adams PA","CUMBERLAND TWP VTD 02*",163,0.114,0.178 
"42001","120","0314.02","2","Adams PA","CUMBERLAND TWP VTD 02*",1269,0.886,1 
"42001","130","0314.01","1","Adams PA","CUMBERLAND TWP VTD 03*",525,0.241,0.226 
"42001","130","0314.01","2","Adams PA","CUMBERLAND TWP VTD 03*",1651,0.759,1 
"42001","140","0314.02","1","Adams PA","CUMBERLAND TWP VTD 04*",755,1,0.822 
"42001","150","0308.00","1","Adams PA","EAST BERLIN Voting District*",1521,1,1 
"42001","160","0317.00","2","Adams PA","FAIRFIELD Voting District*",507,1,0.308 
"42001","170","0304.00","3","Adams PA","FRANKLIN TWP VTD 01*",445,0.179,0.345 
"42001","170","0304.00","4","Adams PA","FRANKLIN TWP VTD 01*",1237,0.498,0.943 
"42001","170","0304.00","5","Adams PA","FRANKLIN TWP VTD 01*",803,0.323,1 
"42001","180","0304.00","1","Adams PA","FRANKLIN TWP VTD 02*",1446,0.605,1 
"42001","180","0304.00","2","Adams PA","FRANKLIN TWP VTD 02*",27,0.011,0.028 
"42001","180","0304.00","3","Adams PA","FRANKLIN TWP VTD 02*",844,0.353,0.655 
"42001","180","0304.00","4","Adams PA","FRANKLIN TWP VTD 02*",75,0.031,0.057 
"42001","190","0316.00","2","Adams PA","FREEDOM TWP Voting District*",831,1,1 
"42001","200","0312.02","1","Adams PA","GERMANY TWP Voting District*",2700,1,1 
"42001","220","0315.01","2","Adams PA","GETTYSBURG WD 01 PCT 02*",1176,0.489,1 
"42001","220","0315.02","4","Adams PA","GETTYSBURG WD 01 PCT 02*",1227,0.511,1 
"42001","230","0315.01","1","Adams PA","GETTYSBURG WD 02*",2139,0.632,1 
"42001","230","0315.02","1","Adams PA","GETTYSBURG WD 02*",1244,0.368,1 
"42001","240","0315.02","2","Adams PA","GETTYSBURG WD 03 PCT 01*",1041,0.568,1 
"42001","240","0315.02","3","Adams PA","GETTYSBURG WD 03 PCT 01*",793,0.432,1 
"42001","260","0308.00","2","Adams PA","HAMILTON TWP Voting District*",2189,0.865,1 
"42001","260","0308.00","3","Adams PA","HAMILTON TWP Voting District*",341,0.135,0.242 
"42001","270","0317.00","1","Adams PA","HAMILTONBAN TWP Voting District*",1231,0.519,1 
"42001","270","0317.00","2","Adams PA","HAMILTONBAN TWP Voting District*",1141,0.481,0.692 
"42001","280","0316.00","1","Adams PA","HIGHLAND TWP Voting District*",943,1,1 
"42001","290","0302.00","1","Adams PA","HUNTINGTON TWP VTD 01*",2369,1,0.74 
"42001","310","0301.01","1","Adams PA","LATIMORE TWP Voting District*",2580,1,1 
"42001","320","0316.00","3","Adams PA","LIBERTY TWP Voting District*",286,0.231,0.088 
"42001","320","0316.00","4","Adams PA","LIBERTY TWP Voting District*",951,0.769,0.513 
"42001","330","0313.00","1","Adams PA","LITTLESTOWN WD 01",1532,0.633,0.568 
"42001","330","0313.00","2","Adams PA","LITTLESTOWN WD 01",889,0.367,0.512 
"42001","340","0313.00","1","Adams PA","LITTLESTOWN WD 02",1167,0.58,0.432 
"42001","340","0313.00","2","Adams PA","LITTLESTOWN WD 02",846,0.42,0.488 
