county,cntyname,vtd,Voting District Name,2010 Tract,2010 census pop,alloc factor
42001,Adams PA,10,ABBOTTSTOWN Voting District*,308,1011,1
42001,Adams PA,20,ARENDTSVILLE Voting District*,304,952,1
42001,Adams PA,30,BENDERSVILLE Voting District*,303,641,1
42001,Adams PA,40,BERWICK TWP Voting District*,308,2389,1
42001,Adams PA,50,BIGLERVILLE Voting District*,305,1200,1
42001,Adams PA,60,BONNEAUVILLE Voting District*,307,1800,1
42001,Adams PA,70,BUTLER TWP Voting District*,305,2567,1
42001,Adams PA,80,CARROLL VALLEY Voting District*,316,1762,1
42001,Adams PA,90,CONEWAGO TWP VTD 01*,311.01,2125,0.755
,,,,311.02,689,0.245
42001,Adams PA,100,CONEWAGO TWP VTD 02*,310,1781,0.417
,,,,311.02,2490,0.583
42001,Adams PA,110,CUMBERLAND TWP VTD 01*,314.01,1799,1
42001,Adams PA,120,CUMBERLAND TWP VTD 02*,314.02,1432,1
42001,Adams PA,130,CUMBERLAND TWP VTD 03*,314.01,2176,1
42001,Adams PA,140,CUMBERLAND TWP VTD 04*,314.02,755,1
42001,Adams PA,150,EAST BERLIN Voting District*,308,1521,1
42001,Adams PA,160,FAIRFIELD Voting District*,317,507,1
42001,Adams PA,170,FRANKLIN TWP VTD 01*,304,2485,1
42001,Adams PA,180,FRANKLIN TWP VTD 02*,304,2392,1
42001,Adams PA,190,FREEDOM TWP Voting District*,316,831,1
42001,Adams PA,200,GERMANY TWP Voting District*,312.02,2700,1
42001,Adams PA,220,GETTYSBURG WD 01 PCT 02*,315.01,1176,0.489
,,,,315.02,1227,0.511
42001,Adams PA,230,GETTYSBURG WD 02*,315.01,2139,0.632
,,,,315.02,1244,0.368
42001,Adams PA,240,GETTYSBURG WD 03 PCT 01*,315.02,1834,1
42001,Adams PA,260,HAMILTON TWP Voting District*,308,2530,1
42001,Adams PA,270,HAMILTONBAN TWP Voting District*,317,2372,1
42001,Adams PA,280,HIGHLAND TWP Voting District*,316,943,1
42001,Adams PA,290,HUNTINGTON TWP VTD 01*,302,2369,1
42001,Adams PA,310,LATIMORE TWP Voting District*,301.01,2580,1
42001,Adams PA,320,LIBERTY TWP Voting District*,316,1237,1
42001,Adams PA,330,LITTLESTOWN WD 01,313,2421,1
42001,Adams PA,340,LITTLESTOWN WD 02,313,2013,1
42001,Adams PA,350,MC SHERRYSTOWN VTD 01*,311.01,1808,1
42001,Adams PA,360,MC SHERRYSTOWN VTD 02*,311.01,1230,1
42001,Adams PA,370,MENALLEN TWP Voting District*,303,3515,1
42001,Adams PA,380,MT. JOY TWP VTD 01*,312.01,1778,1
42001,Adams PA,385,MT. JOY TWP VTD 02*,312.01,1892,1
42001,Adams PA,390,MT. PLEASANT TWP VTD 01*,307,2579,1
42001,Adams PA,400,MT. PLEASANT TWP VTD 02*,307,2114,1
42001,Adams PA,410,NEW OXFORD Voting District*,309,1783,1
42001,Adams PA,425,OXFORD TWP DIST 01*,309,2754,1
42001,Adams PA,427,OXFORD TWP DIST 02*,309,2763,1
42001,Adams PA,430,READING TWP VTD 01*,301.02,2960,1
42001,Adams PA,435,READING TWP VTD 02*,301.02,2820,1
